city_name,city_code,region,sector_name,delivery_delay,delivery_price,return_price,delivery_driver_price
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - AIN CHOK,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - SIDI MAAROUF,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - AIN SEBAA,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - ROCHES NOIRES,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - SIDI MOUMEN,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - HAY MOHAMMADI,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - SIDI BERNOUSSI,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - ANASSI,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - BEN M'SICK,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - MOULAY RACHID,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - SIDI OTHMANE,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - AIN DIAB,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - BOURGOGNE,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - SIDI BELYOUT,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - MERS SULTAN,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - ABDELMOUMEN,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - EMILE ZOLA,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - HABOUS,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - LA GIRONDE,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - EL FIDA,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - HAY HASSANI,24H,35.00,0.00,0.00
CASABLANCA VILLE,CASV,CASABLANCA-SETTAT,CASA - OULFA,24H,35.00,0.00,0.00
